Input_type;pcc;model;Class
A;78,481;NV;M
B;60,506;NV;M
C;32,911;NV;M
A;72,881;NV;P
B;58,706;NV;P
C;30,971;NV;P
Z;78,481;NV;M
Z;72,881;NV;P
A;73,186;NN;M
B;52,442;NN;M
C;36,634;NN;M
A;70,117;NN;P
B;53,342;NN;P
C;35,735;NN;P
Z;72,186;NN;M
Z;69,807;NN;P
A;70,919;SVM;M
B;53,429;SVM;M
C;36,718;SVM;M
A;67,034;SVM;P
B;56,217;SVM;P
C;38,045;SVM;P
Z;75,494;SVM;M
Z;74,896;SVM;P
A;78,487;DT;M
B;60,569;DT;M
C;37,192;DT;M
A;75,787;DT;P
B;59,33;DT;P
C;36,225;DT;P
Z;78,466;DT;M
Z;75,801;DT;P
A;77,503;RF;M
B;57,168;RF;M
C;34,192;RF;M
A;75,014;RF;P
B;57,92;RF;P
C;36,553;RF;P
Z;77,209;RF;M
Z;75,536;RF;P
