Input_type;rmse;model;Class
A;2,008;NV;M
B;2,803;NV;M
C;4,576;NV;M
A;1,321;NV;P
B;1,889;NV;P
C;3,228;NV;P
Z;2,228;NV;M
Z;1,45;NV;P
A;1,884;NN;M
B;2,637;NN;M
C;4,604;NN;M
A;1,847;NN;P
B;2,36;NN;P
C;3,22;NN;P
Z;1,893;NN;M
Z;1,842;NN;P
A;1,988;SVM;M
B;2,8;SVM;M
C;4,256;SVM;M
A;1,277;SVM;P
B;1,846;SVM;P
C;2,694;SVM;P
Z;2,016;SVM;M
Z;1,292;SVM;P
A;1,821;DT;M
B;2,405;DT;M
C;3,993;DT;M
A;1,393;DT;P
B;1,738;DT;P
C;2,885;DT;P
Z;1,753;DT;M
Z;1,424;DT;P
A;1,767;RF;M
B;2,524;RF;M
C;3,959;RF;M
A;1,28;RF;P
B;1,765;RF;P
C;2,636;RF;P
Z;1,669;RF;M
Z;1,333;RF;P
